letter,cipher_count,cipher_pct,english_initial_pct,delta,significant
A,8,18.2,11.6,+6.6,*
B,5,11.4,3.4,+8.0,*
C,1,2.3,5.2,-2.9,
D,1,2.3,3.2,-0.9,
E,1,2.3,2.8,-0.5,
F,0,0.0,4.0,-4.0,
G,2,4.5,1.6,+2.9,
H,0,0.0,3.8,-3.8,
I,4,9.1,7.3,+1.8,
J,0,0.0,1.0,-1.0,
K,0,0.0,0.6,-0.6,
L,1,2.3,2.4,-0.1,
M,4,9.1,4.7,+4.4,*
N,1,2.3,2.0,+0.3,
O,2,4.5,6.1,-1.6,
P,2,4.5,4.0,+0.5,
Q,1,2.3,0.3,+2.0,
R,1,2.3,2.6,-0.3,
S,2,4.5,6.8,-2.3,
T,6,13.6,15.6,-2.0,
U,0,0.0,1.5,-1.5,
V,0,0.0,0.9,-0.9,
W,2,4.5,3.9,+0.6,
X,0,0.0,0.1,-0.1,
Y,0,0.0,0.5,-0.5,
Z,0,0.0,0.1,-0.1,
